Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.658750,0.794000,0.708375,0.453500,0.746641,0.293445,0.532098,0.316826
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.338250,2.208000,0.351563,1.710875,0.367734,0.317547,0.389711,0.401402
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.198000,0.222125,0.205000,0.215469,0.220750,7.896742,3.755922,4.684283
"getClientID completed.",1.335000,3.440125,1.434063,2.579125,1.643813,8.723930,4.889629,5.595770
"Read file completed.",0.008750,0.018625,0.010000,0.012531,0.012969,0.012984,0.011723,0.012719
"[updateStatus] MySQL connection established.",0.098250,0.114250,0.108313,0.146063,0.126578,0.144055,0.135859,0.133928
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.198500,0.368500,0.364875,121.466219,1.859422,7.372633,14.256203,17.522635
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.242250,0.245875,0.209625,8.596906,0.251656,1.632203,2.297562,2.094314
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.225250,0.209750,0.162875,0.190156,0.169234,0.155094,0.179066,0.180219
"updateStatus completed.",13.276500,19.799250,18.932687,236.307625,60.491859,123.099945,98.305531,79.771404
"Write file completed.",13.534250,20.065375,19.262750,273.544969,60.850750,123.911664,99.506359,81.218501
"[getGroupStatus] MySQL connection established.",0.072000,0.077125,0.082625,0.116500,0.080109,0.100367,0.090941,0.079986
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.263500,0.264125,0.261938,0.329563,0.272469,0.303570,0.289941,0.259980
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.213000,0.221375,0.228375,0.337500,0.372719,39.081266,0.963273,4.415207
"getGroupStatus completed.",0.686750,0.710125,0.699875,0.988000,0.898703,39.736484,1.556020,5.034332
"Merge request completed.",3.611000,4.797000,4.396200,5.654100,5.089500,5.037500,11.587000,16.675000
"Majority request completed.",2.893000,5.761000,6.410000,2.725000,4.306000,4.581000,4.732000,6.316000
"Program completed. Total",20.035750,29.315750,25.851813,283.647531,66.372187,175.178625,108.691746,95.427996
