Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.249000,0.224500,0.231188,0.203469,0.221719,0.234984,0.233164,0.230164
"First request sent",0.025000,0.018875,0.034125,0.031875,0.034719,0.033992,0.033266,0.030766
"Time from request to first response",89.913750,35.537000,0.030063,0.026875,0.030516,0.030594,0.030238,0.028760
"Response received",779.974250,834.312875,1096.740313,2589.557313,5023.626250,13395.011437,19000.986426,25783.046146
"File saved",0.444500,0.430875,0.384562,0.488625,0.461375,0.470594,0.382238,0.397719
"Command executed",993.665250,1117.266125,1311.603187,1775.703250,3057.096922,6172.372430,13126.430926,46237.606100
"Second connection established",0.282750,0.251875,0.237062,0.249031,0.236156,0.215969,0.219832,0.260146
"Second request sent",0.024750,0.023250,0.024875,0.025750,0.025937,0.025047,0.025844,0.019164
"Result uploaded",0.045500,0.049125,0.049813,0.055313,0.052281,0.056125,0.053449,0.034514
"Process completed successfully. Total execution time",2535.370250,2838.295500,3605.643438,6997.136031,13131.271391,32616.850086,57925.831211,128668.110049
